asd,name,year,properties,nonCurrentLiabilities,currentLiabbilities,equities,fullPrice,priceNextYear
8065,ATREM,2010,32046,1038,5461,80418,1159200.0,857700.0
5465,CITYINTER,2010,32046,1038,5461,80418,1159200.0,857700.0
4178,B3SYSTEM,2010,32046,1038,5461,80418,1159200.0,857700.0
4801,SFINKS,2009,23851,1089,4068,69283,1168500.0,1159200.0
2447,IRENA,2008,24380,865,9160,48498,618163200.0,1168500.0
369,ECHO,2010,32046,1038,5461,80418,1159200.0,857700.0
7021,PKPCARGO,2006,12720,624,1914,37316,6026400.0,4073400.0
5697,VISTAL,2008,24380,865,9160,48498,618163200.0,1168500.0
5842,STARHEDGE,2010,32046,1038,5461,80418,1159200.0,857700.0
574,KRUK,2007,16086,610,2677,41013,4073400.0,618163200.0
7455,ATAL,2011,35340,817,11266,94012,857700.0,140200.0
4369,SOBIESKI,2006,12720,624,1914,37316,6026400.0,4073400.0
2405,OPTIMUS,2005,12126,520,1723,30845,9262800.0,6026400.0
878,ROPCZYCE,2012,41583,738,13688,106601,140200.0,119939300.0
2284,DUDA,2014,68630,687,10513,119065,911300.0,2932000.0
6649,BIK,2011,35340,817,11266,94012,857700.0,140200.0
8945,LSTCAPITA,2006,12720,624,1914,37316,6026400.0,4073400.0
2704,JUPITER,2005,12126,520,1723,30845,9262800.0,6026400.0
7582,JSW,2008,24380,865,9160,48498,618163200.0,1168500.0
3205,ONE2ONE,2012,41583,738,13688,106601,140200.0,119939300.0
3608,WIKANA,2012,41583,738,13688,106601,140200.0,119939300.0
3499,KRAKCHEM,2007,16086,610,2677,41013,4073400.0,618163200.0
8557,GETINOBLE,2008,24380,865,9160,48498,618163200.0,1168500.0
808,KREDYTB,2007,16086,610,2677,41013,4073400.0,618163200.0
4520,BUDVARCEN,2014,68630,687,10513,119065,911300.0,2932000.0
5122,ESSYSTEM,2005,12126,520,1723,30845,9262800.0,6026400.0
8519,EUCO,2009,23851,1089,4068,69283,1168500.0,1159200.0
2342,MUZA,2007,16086,610,2677,41013,4073400.0,618163200.0
3780,AMREST,2015,68095,661,7154,130446,2932000.0,313200.0
10586,PSG,2009,23851,1089,4068,69283,1168500.0,1159200.0
4631,SECOGROUP,2008,24380,865,9160,48498,618163200.0,1168500.0
2982,MAGELLAN,2010,32046,1038,5461,80418,1159200.0,857700.0
3811,MWTRADE,2007,16086,610,2677,41013,4073400.0,618163200.0
1210,ODLEWNIE,2006,12720,624,1914,37316,6026400.0,4073400.0
9295,BRIJU,2005,12126,520,1723,30845,9262800.0,6026400.0
439,TUEUROPA,2015,68095,661,7154,130446,2932000.0,313200.0
7970,KCI,2006,12720,624,1914,37316,6026400.0,4073400.0
4566,CEZ,2008,24380,865,9160,48498,618163200.0,1168500.0
9221,WDMCP,2009,23851,1089,4068,69283,1168500.0,1159200.0
10494,PPLHOLD,2008,24380,865,9160,48498,618163200.0,1168500.0
2358,POLNA,2010,32046,1038,5461,80418,1159200.0,857700.0
4628,SECOGROUP,2005,12126,520,1723,30845,9262800.0,6026400.0
3109,ACTION,2007,16086,610,2677,41013,4073400.0,618163200.0
2971,ABPL,2012,41583,738,13688,106601,140200.0,119939300.0
213,KGHM,2010,32046,1038,5461,80418,1159200.0,857700.0
2643,GROCLIN,2009,23851,1089,4068,69283,1168500.0,1159200.0
7930,OTMUCHOW,2005,12126,520,1723,30845,9262800.0,6026400.0
1681,AMPLI,2009,23851,1089,4068,69283,1168500.0,1159200.0
7584,JSW,2010,32046,1038,5461,80418,1159200.0,857700.0
9991,BACD,2012,41583,738,13688,106601,140200.0,119939300.0
7621,ABCDATA,2008,24380,865,9160,48498,618163200.0,1168500.0
3966,IVMX,2006,12720,624,1914,37316,6026400.0,4073400.0
7715,INVISTA,2011,35340,817,11266,94012,857700.0,140200.0
6669,WITTCHEN,2005,12126,520,1723,30845,9262800.0,6026400.0
224,ENERGOPOL,2008,24380,865,9160,48498,618163200.0,1168500.0
3126,PROCAD,2011,35340,817,11266,94012,857700.0,140200.0
4704,MIRBUD,2016,74044,751,10353,143526,313200.0,9377600.0
607,12PIAST,2014,68630,687,10513,119065,911300.0,2932000.0
